times, training_accuracy, validation_accuracy, training_loss, validation_loss
1586889322.859,0.16,0.88,0.72643,0.52847,1
1586889323.617,0.96,0.72,0.4672,0.62735,1
1586889324.284,0.96,0.92,0.25513,0.33144,1
1586889324.862,0.96,0.8,0.17479,1.27573,1
1586889325.432,0.76,0.92,1.56466,0.39413,1
1586889325.973,0.96,0.8,0.19153,0.71082,1
1586889326.436,0.84,1.0,0.57404,0.08179,1
1586889327.019,0.96,0.88,0.17755,0.36965,2
1586889327.59,0.92,0.72,0.2772,0.65443,2
1586889328.153,0.96,0.92,0.21822,0.29709,2
1586889328.704,0.92,0.8,0.29562,0.51149,2
1586889329.269,0.88,0.92,24.72708,0.30765,2
1586889329.819,0.88,0.8,0.35992,0.50416,2
1586889330.317,0.92,1.0,8.3699,0.189,2
1586889330.858,0.88,0.88,0.3698,0.37671,3
1586889331.436,0.92,0.72,0.29853,0.63486,3
1586889332.049,0.84,0.92,0.42551,0.30031,3
1586889332.618,0.8,0.8,0.50623,0.50567,3
1586889333.206,0.92,0.92,0.30766,0.30349,3
1586889333.82,0.96,0.8,3.62175,0.50451,3
1586889334.24,0.96,1.0,0.23853,0.18761,3
1586889334.646,0.96,0.88,0.24354,0.37665,4
1586889335.075,0.88,0.72,0.37671,0.63379,4
1586889335.529,0.84,0.92,0.4342,0.29995,4
1586889336.028,0.8,0.8,0.50607,0.50638,4
1586889336.469,0.96,0.92,0.24107,0.3006,4
1586889336.88,0.72,0.8,0.64961,0.50896,4
1586889337.217,0.84,1.0,0.42683,0.16962,4
1586889337.618,1.0,0.88,0.1621,0.37067,5
1586889338.018,0.92,0.72,0.29448,0.66117,5
1586889338.417,0.8,0.92,0.51468,0.2876,5
1586889338.82,0.88,0.8,0.36807,0.5202,5
1586889339.267,0.92,0.92,0.27409,0.28807,5
1586889339.709,0.96,0.8,0.19812,0.53737,5
1586889340.079,0.96,1.0,0.1938,0.09356,5
1586889340.487,1.0,0.88,0.09008,0.38505,6
1586889340.896,1.0,0.72,0.06464,0.89961,6
1586889341.296,0.92,0.92,0.28815,0.30203,6
1586889341.701,0.84,0.8,0.57228,0.69817,6
1586889342.098,0.84,0.92,15.31141,0.28258,6
1586889342.499,0.96,0.8,0.16189,0.56128,6
1586889342.85,0.96,1.0,0.18154,0.1216,6
1586889343.249,0.92,0.88,0.27569,0.36879,7
1586889343.65,0.72,0.72,1.15574,0.62353,7
1586889344.05,0.88,0.88,0.37997,0.90443,7
1586889344.45,0.84,0.8,0.44851,0.50562,7
1586889344.851,0.92,0.92,0.92992,0.38441,7
1586889345.293,0.88,0.8,0.85027,0.51222,7
1586889345.633,0.76,1.0,0.95509,0.31067,7
1586889346.031,0.84,0.88,0.69671,0.42731,8
1586889346.426,0.92,0.72,0.50099,0.5959,8
1586889346.832,0.96,0.88,0.32678,0.38136,8
1586889347.234,0.84,0.8,0.41417,0.5005,8
1586889347.634,0.76,0.92,0.5572,0.31536,8
1586889348.032,0.92,0.8,0.34533,0.51086,8
1586889348.361,0.88,1.0,0.36761,0.13005,8
1586889348.769,0.92,0.88,0.33294,0.36955,9
1586889349.188,1.0,0.72,0.10089,0.79388,9
1586889349.659,0.96,0.92,0.17976,0.2854,9
1586889350.218,0.8,0.8,0.64487,0.65841,9
1586889350.678,0.92,0.92,0.28721,0.29038,9
1586889351.113,0.8,0.8,0.65746,0.63616,9
1586889351.458,0.84,1.0,0.51977,0.0674,9
1586889351.873,0.88,0.88,0.38438,0.37554,10
1586889352.277,0.88,0.72,0.37592,0.72193,10
1586889352.702,0.84,0.92,0.45744,0.28176,10
1586889353.127,0.84,0.8,1.21193,0.50831,10
1586889353.669,0.76,0.92,0.57679,0.32479,10
1586889354.212,0.88,0.8,0.38512,0.50134,10
1586889354.643,0.96,1.0,0.30411,0.26965,10
1586889355.179,0.88,0.88,0.4183,0.41892,11
1586889355.637,0.96,0.72,0.33065,0.59465,11
1586889356.06,0.88,0.92,0.42743,0.37684,11
1586889356.484,0.84,0.8,0.46456,0.50702,11
1586889356.887,0.84,0.92,0.46257,0.36891,11
1586889357.294,0.92,0.8,0.36911,0.50367,11
1586889357.628,0.84,1.0,0.45602,0.25241,11
1586889358.32,1.0,0.88,0.23843,0.39397,12
1586889358.819,0.96,0.72,0.27553,0.61524,12
1586889359.244,0.84,0.92,0.52678,0.31162,12
1586889359.664,0.88,0.8,0.37927,0.50519,12
1586889360.117,0.84,0.92,0.43389,0.30139,12
1586889360.53,0.88,0.8,0.35436,0.51413,12
1586889360.873,0.88,1.0,0.36592,0.13897,12
1586889361.263,0.8,0.88,0.53644,0.36686,13
1586889361.661,0.88,0.72,0.3655,0.68773,13
