loss:CrossEntropyLoss(), optimizer:Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 1e-08
    lr: 1e-06
    weight_decay: 0
)times, training_accuracy, validation_accuracy, training_loss, validation_loss
1586893929.165,0.16,0.12,0.72643,0.70083,1
1586893929.585,0.04,0.28,0.71033,0.69744,1
1586893929.969,0.04,0.08,0.70558,0.70641,1
1586893930.385,0.04,0.2,0.70597,0.69854,1
1586893930.779,0.24,0.08,0.69782,0.70028,1
1586893931.168,0.04,0.2,0.70168,0.69808,1
1586893931.502,0.2,0.0,0.69754,0.70098,1
1586893931.938,0.12,0.12,0.6937,0.69877,2
1586893932.328,0.16,0.28,0.69169,0.69624,2
1586893932.723,0.12,0.12,0.68861,0.69044,2
1586893933.122,0.12,0.2,0.68995,0.69691,2
1586893933.527,0.2,0.08,0.68156,0.69799,2
1586893933.926,0.2,0.2,0.67639,0.69643,2
1586893934.244,0.04,0.0,0.72546,0.69825,2
1586893934.644,0.16,0.12,0.67952,0.69673,3
1586893935.042,0.16,0.28,0.66886,0.69507,3
1586893935.47,0.24,0.12,0.66517,0.68035,3
1586893935.861,0.2,0.2,0.69541,0.69538,3
1586893936.244,0.08,0.08,0.69622,0.69588,3
1586893936.645,0.04,0.2,0.7236,0.69496,3
1586893936.967,0.08,0.0,0.67665,0.69582,3
1586893937.427,0.08,0.12,0.67784,0.69492,4
1586893937.825,0.12,0.28,0.69489,0.69404,4
1586893938.215,0.2,0.12,0.67478,0.67558,4
1586893938.608,0.2,0.2,0.69412,0.69401,4
1586893939.0,0.08,0.08,0.69432,0.694,4
1586893939.397,0.28,0.2,0.6936,0.69362,4
1586893939.727,0.24,0.0,0.65462,0.69358,4
1586893940.121,0.08,0.2,0.67529,0.69324,5
1586893940.541,0.12,0.68,0.67134,0.69307,5
1586893940.944,0.76,0.92,0.69301,0.67208,5
1586893941.331,0.88,0.8,0.69274,0.6927,5
1586893941.728,0.92,0.92,0.63291,0.69217,5
1586893942.113,0.96,0.8,0.6524,0.6923,5
1586893942.437,0.96,1.0,0.671,0.69135,5
1586893942.834,1.0,0.88,0.66529,0.69154,6
1586893943.224,1.0,0.72,0.64238,0.69208,6
1586893943.625,0.92,0.92,0.66956,0.66849,6
1586893944.021,0.84,0.8,0.69127,0.69132,6
1586893944.413,0.84,0.92,0.7744,0.69026,6
1586893944.809,0.96,0.8,0.61836,0.69094,6
1586893945.132,0.96,1.0,0.66582,0.68911,6
1586893945.559,0.92,0.88,0.64511,0.68986,7
1586893945.953,0.72,0.72,0.74971,0.69114,7
1586893946.343,0.88,0.92,0.68969,0.66638,7
1586893946.746,0.84,0.8,0.68982,0.6901,7
1586893947.132,0.96,0.92,0.66612,0.68857,7
1586893947.525,0.92,0.8,0.66747,0.68975,7
1586893947.862,0.8,1.0,0.66617,0.68712,7
1586893948.25,0.88,0.88,0.66499,0.68838,8
1586893948.651,0.96,0.72,0.66356,0.69028,8
1586893949.056,0.96,0.92,0.68712,0.66458,8
1586893949.455,0.92,0.8,0.64007,0.6889,8
1586893949.852,0.76,0.92,0.68955,0.68687,8
1586893950.249,0.92,0.8,0.73108,0.68854,8
1586893950.604,0.88,1.0,0.64371,0.6851,8
1586893951.001,0.92,0.88,0.75236,0.68689,9
1586893951.397,1.0,0.72,0.65916,0.68945,9
1586893951.794,0.96,0.92,0.66161,0.66333,9
1586893952.185,0.8,0.8,0.68792,0.68779,9
1586893952.584,0.92,0.92,0.64049,0.68534,9
1586893952.982,0.8,0.8,0.65811,0.68744,9
1586893953.312,0.84,1.0,0.68659,0.68327,9
1586893953.72,0.88,0.88,0.66396,0.68549,10
1586893954.121,0.88,0.72,0.68551,0.68864,10
1586893954.511,0.84,0.92,0.68616,0.66198,10
1586893954.929,0.84,0.8,0.70567,0.68668,10
1586893955.364,0.76,0.92,0.68753,0.68381,10
1586893955.771,0.88,0.8,0.68469,0.68638,10
1586893956.096,0.96,1.0,0.65997,0.68148,10
1586893956.507,0.88,0.88,0.66337,0.68414,11
1586893956.916,0.96,0.72,0.68225,0.68787,11
1586893957.299,0.88,0.92,0.64094,0.66081,11
1586893957.702,0.84,0.8,0.68475,0.68561,11
1586893958.093,0.84,0.92,0.68453,0.68228,11
1586893958.477,0.92,0.8,0.68233,0.68527,11
1586893958.806,0.84,1.0,0.68422,0.67962,11
1586893959.197,1.0,0.88,0.63425,0.68272,12
1586893959.597,0.96,0.72,0.63901,0.68705,12
1586893960.0,0.84,0.92,0.74693,0.65908,12
1586893960.415,0.88,0.8,0.68234,0.68449,12
1586893960.822,0.84,0.92,0.65982,0.68071,12
1586893961.207,0.88,0.8,0.58961,0.68417,12
1586893961.534,0.88,1.0,0.6601,0.67775,12
1586893961.934,0.8,0.88,0.67692,0.68132,13
1586893962.318,0.88,0.72,0.65981,0.68626,13
1586893962.725,0.92,0.92,0.65963,0.6574,13
1586893963.118,0.92,0.8,0.63846,0.68339,13
1586893963.513,0.92,0.92,0.60891,0.67914,13
1586893963.919,0.88,0.8,0.68054,0.68305,13
1586893964.241,0.8,1.0,0.81585,0.67592,13
1586893964.654,0.92,0.88,0.67875,0.67996,14
1586893965.043,0.84,0.72,0.68136,0.68551,14
1586893965.467,0.88,0.92,0.65631,0.65619,14
1586893965.891,0.92,0.8,0.65796,0.6824,14
1586893966.275,0.96,0.92,0.65382,0.67778,14
1586893966.675,0.88,0.8,0.67926,0.68211,14
1586893966.999,0.96,1.0,0.63279,0.67432,14
1586893967.388,0.8,0.88,0.65873,0.67872,15
1586893967.786,0.92,0.72,0.67719,0.68478,15
1586893968.177,0.92,0.92,0.65433,0.65493,15
1586893968.579,0.84,0.8,0.6799,0.68138,15
1586893968.981,0.88,0.92,0.6782,0.67632,15
1586893969.383,0.84,0.8,0.65957,0.68108,15
1586893969.735,0.84,1.0,0.65898,0.67257,15
1586893970.128,0.84,0.88,0.65646,0.67739,16
1586893970.561,0.96,0.72,0.67402,0.68403,16
1586893970.984,0.92,0.92,0.63713,0.65309,16
1586893971.384,0.88,0.8,0.65663,0.68033,16
1586893971.813,0.92,0.92,0.60516,0.67482,16
1586893972.219,0.84,0.8,0.63168,0.68001,16
1586893972.55,0.84,1.0,0.65744,0.67075,16
1586893972.985,0.88,0.88,0.62597,0.67601,17
1586893973.392,0.92,0.72,0.65291,0.68324,17
1586893973.805,0.92,0.92,0.67396,0.65071,17
1586893974.205,0.88,0.8,0.65157,0.67924,17
1586893974.667,0.96,0.92,0.64896,0.67329,17
1586893975.076,0.96,0.8,0.67139,0.67891,17
1586893975.535,0.88,1.0,0.67503,0.66887,17
1586893976.103,0.84,0.88,0.63074,0.6746,18
1586893976.665,0.76,0.72,0.68055,0.68245,18
1586893977.087,0.96,0.92,0.64581,0.6485,18
1586893977.494,0.84,0.8,0.65256,0.67814,18
1586893977.995,0.92,0.92,0.59732,0.67174,18
1586893978.43,0.88,0.8,0.64952,0.67782,18
1586893978.796,0.88,1.0,0.6224,0.66703,18
1586893979.205,1.0,0.88,0.64086,0.67322,19
1586893979.647,0.76,0.72,0.67965,0.68168,19
1586893980.076,0.92,0.92,0.64432,0.64644,19
1586893980.516,0.88,0.8,0.67286,0.67707,19
1586893980.961,0.92,0.92,0.59954,0.67022,19
1586893981.364,0.92,0.8,0.67023,0.67675,19
1586893981.772,0.92,1.0,0.61985,0.66518,19
1586893982.171,0.88,0.88,0.62474,0.67184,20
1586893982.591,0.88,0.72,0.57104,0.6809,20
1586893983.032,0.96,0.92,0.66706,0.64446,20
1586893983.441,0.88,0.8,0.67145,0.67598,20
1586893983.934,1.0,0.92,0.66419,0.66868,20
1586893984.357,0.8,0.8,0.62569,0.67566,20
1586893984.696,0.92,1.0,0.64319,0.66333,20
1586893985.093,1.0,0.88,0.63797,0.67045,21
1586893985.531,0.8,0.72,0.65118,0.68012,21
1586893986.197,0.88,0.92,0.67026,0.64263,21
1586893986.753,1.0,0.8,0.66249,0.6749,21
1586893987.205,0.88,0.92,0.64456,0.66715,21
1586893987.743,0.92,0.8,0.6417,0.67457,21
