loss:CrossEntropyLoss(), optimizer:Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 1e-08
    lr: 0.0001
    weight_decay: 0
)times, training_accuracy, validation_accuracy, training_loss, validation_loss
1586898996.894,0.12,0.8,0.70122,0.67693,1
1586898997.377,0.96,0.92,0.66767,0.64609,1
1586898997.849,0.88,0.92,0.64974,0.62489,1
1586898998.316,0.92,0.8,0.62677,0.63358,1
1586898998.77,0.92,0.92,0.60615,0.58766,1
1586898999.23,0.84,0.92,0.60963,0.56651,1
1586898999.707,0.88,0.88,0.58168,0.56385,1
1586899000.185,0.96,0.96,0.53274,0.50495,1
1586899000.633,0.88,0.88,0.5463,0.51916,1
1586899001.132,0.8,0.92,0.56739,0.47258,1
1586899001.582,0.84,0.88,0.5265,0.48517,1
1586899002.053,0.84,0.96,0.50993,0.38741,1
1586899002.511,0.88,0.96,0.4559,0.3587,1
1586899002.977,0.84,0.96,0.48158,0.31482,1
1586899003.431,0.88,0.88,0.41604,0.39541,1
1586899003.889,0.84,0.96,0.44578,0.25784,1
1586899004.346,0.92,0.88,0.32001,0.37564,1
1586899004.804,0.96,0.84,0.22577,0.44049,1
1586899005.267,0.92,0.84,0.28503,0.46104,1
1586899005.743,0.96,0.88,0.21307,0.38684,1
1586899006.251,0.92,1.0,0.27453,0.04925,1
1586899006.703,0.92,0.8,0.29035,0.674,1
1586899007.164,0.88,0.96,0.42007,0.16867,1
1586899007.612,0.96,0.84,0.16555,0.58526,1
1586899008.077,0.84,0.8,0.5934,0.70221,1
1586899008.529,0.92,0.72,0.30447,0.95563,1
1586899008.993,0.8,1.0,0.70022,0.04511,1
1586899009.455,0.92,0.96,0.28615,0.17213,1
1586899009.915,0.8,0.96,0.64074,0.17047,1
1586899010.369,0.8,0.88,0.59402,0.37203,1
1586899010.829,0.96,0.92,0.17963,0.28389,1
1586899011.314,0.92,0.96,0.28061,0.19937,1
1586899011.779,0.84,0.84,0.45261,0.43671,1
1586899012.223,0.88,0.92,0.3699,0.29705,1
1586899012.668,1.0,0.88,0.14991,0.37102,1
1586899013.134,0.84,0.8,0.43965,0.52105,1
1586899013.587,0.84,0.92,0.44951,0.30139,1
1586899014.055,0.84,0.8,0.43938,0.5214,1
1586899014.506,0.84,0.88,0.43878,0.37374,1
1586899014.976,0.84,0.96,0.44017,0.2577,1
1586899015.432,0.84,0.76,0.44414,0.55799,1
1586899015.914,1.0,0.8,0.20065,0.49866,1
1586899016.381,0.84,0.88,0.44088,0.37524,1
1586899016.838,0.88,0.96,0.37979,0.25519,1
1586899017.29,0.96,0.96,0.25249,0.24928,1
1586899017.747,0.84,0.84,0.44057,0.44297,1
1586899018.198,0.92,0.92,0.30688,0.30487,1
1586899018.641,0.92,0.92,0.30639,0.29806,1
1586899019.101,0.88,0.88,0.36645,0.37331,1
1586899019.546,0.88,0.92,0.36838,0.28983,1
1586899020.011,0.76,0.88,0.59222,0.36579,1
1586899020.475,0.92,0.92,0.29486,0.28776,1
1586899020.959,0.84,0.92,0.46783,0.28801,1
1586899021.422,0.96,0.96,0.20557,0.2027,1
